year,quarter,period,revenue,profit,margin_pct,orders
2011,1,2011-Q1,74448.0,3811.0,5.1,131
2011,2,2011-Q2,86539.0,11204.0,12.9,201
2011,3,2011-Q3,143633.0,12805.0,8.9,267
2011,4,2011-Q4,179628.0,21724.0,12.1,370
2012,1,2012-Q1,68852.0,9265.0,13.5,144
2012,2,2012-Q2,89124.0,12191.0,13.7,214
2012,3,2012-Q3,130260.0,16854.0,12.9,274
2012,4,2012-Q4,182297.0,23309.0,12.8,406
2013,1,2013-Q1,92596.0,11446.0,12.4,177
2013,2,2013-Q2,135370.0,16085.0,11.9,294
2013,3,2013-Q3,144614.0,16154.0,11.2,378
2013,4,2013-Q4,235893.0,38042.0,16.1,461
2014,1,2014-Q1,118896.0,21772.0,18.3,237
2014,2,2014-Q2,134023.0,17166.0,12.8,367
2014,3,2014-Q3,200433.0,26913.0,13.4,451
2014,4,2014-Q4,280595.0,27656.0,9.9,637
