Region,Category,revenue,profit,margin_pct,orders
East,Technology,264974.0,47462.0,17.9,443
West,Furniture,252613.0,11505.0,4.6,595
West,Technology,251992.0,44304.0,17.6,490
West,Office Supplies,220853.0,52610.0,23.8,1169
East,Furniture,208291.0,3046.0,1.5,488
East,Office Supplies,205516.0,41015.0,20.0,1074
Central,Technology,170416.0,33697.0,19.8,356
Central,Office Supplies,167026.0,8880.0,5.3,880
Central,Furniture,163797.0,-2871.0,-1.8,403
South,Technology,148772.0,19992.0,13.4,255
South,Office Supplies,125651.0,19986.0,15.9,619
South,Furniture,117299.0,6771.0,5.8,278
